"id","plaid_id","name","user_id"
"diypxfthsy7l9dn05bo0zu8d","13005009","Food and Drink, Restaurants, Seafood","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"dk0wneb8c23nlx35941d49aa","17023004","Recreation, Landmarks, Buildings and Structures","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"dkztdr4hepwc0qi1zebyrx5p","17019000","Recreation, Hiking","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"dnzm2a7eszgtg4km4exgv1cq","14002013","Healthcare, Physicians, Internal Medicine","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"doh3pu8htskxpsnox3stadoa","14000000","Healthcare","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"dp1xqbwgyzsff1evmch6ixe0","22009000","Travel, Gas Stations","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"dqmxre3k88bbq75fjvzzin6l","21007000","Transfer, Deposit","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"dr0llrjwya1hyiil2giz8tum","18006004","Service, Automotive, Car Wash and Detail","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"dr70u98hefulzruours8ad8h","18020000","Service, Financial","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"dui6sgumvlc867xfzxobdhmi","17032000","Recreation, Rafting","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"dvl0z9tlw095ti77tj9t9pmj","18024024","Service, Home Improvement, Contractors","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"dwuw6daj56gzif631qus6017","18020007","Service, Financial, Financial Planning and Investments","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"dwuwth2cm7kexy9zxbfbw72u","19000000","Shops","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"dz2r8k3tusprt5ud01if28fp","19025002","Shops, Food and Beverage Store, Health Food","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"e02q32xngurjb6hp8ha1xjt5","19028000","Shops, Gift and Novelty","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"e33xw9qphajrywwobgczkvcr","17022000","Recreation, Hunting and Fishing","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"e3hiqfxjc16o01k3qz4lv1rq","12012001","Community, Law Enforcement, Police Stations","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"e6c05lnfylw9s13a1538jiru","17038000","Recreation, Skydiving","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"e6uf79qheina24t67r9xx1wc","13005038","Food and Drink, Restaurants, Diners","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"e70kf33rh41xeod3w1t29rcy","17001007","Recreation, Arts and Entertainment, Music and Show Venues","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"e7rn9a2jur1hxtyy3bu7qsic","19011000","Shops, Children","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"e80nvempa84pw3gdlax1l1gx","19025003","Shops, Food and Beverage Store, Farmers Markets","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"e9yr8f260pn1wazq94jk9r9m","13005008","Food and Drink, Restaurants, Spanish","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"e9zt15rozax2o2904fks3tqe","18024019","Service, Home Improvement, Heating, Ventilation and Air Conditioning","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"ec5mn4halaz6wd8sg5yt8mfv","18066000","Service, Transportation","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"egqynqi6pvxc5226ddyc9xr3","22005000","Travel, Car and Truck Rentals","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"egzk44035jys233b8592ebc1","17001016","Recreation, Arts and Entertainment, Billiards and Pool","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"el8vuxp1md9fbmmujxcdvfyt","19030000","Shops, Hardware Store","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"en7p2mnlmlbqzp6yaewr67n9","17021000","Recreation, Hot Air Balloons","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"eojp22kyr1ruayamd1mq56k0","18045006","Service, Personal Care, Massage Clinics and Therapists","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"ep15jyvlaiinuu2rwuqio1ks","18070000","Service, Water and Waste Management","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"ep8tir180bxzx4p4ab0hsqeu","20000000","Tax","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"epyws3bsbjohihw93nh8le0e","13005050","Food and Drink, Restaurants, Breakfast Spot","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"eq9rz1x9f29cd0uubhavtbil","12012003","Community, Law Enforcement, Correctional Institutions","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"er3moenqo20witptg70wo0f0","14001005","Healthcare, Healthcare Services, Optometrists","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"erepyiqp9skroje9rectpz1d","17012000","Recreation, Equestrian","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"evdser9ghriblhj34nlj2hgt","18021000","Service, Food and Beverage","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"evwisdo6dkigkwjgkf3ri4m3","18030000","Service, Insurance","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"exazro2wlpshs2oqmtnmkb3k","18045005","Service, Personal Care, Piercing","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"eyz155broiqfb68ypoqzmi66","13004003","Food and Drink, Nightlife, Karaoke","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"ez18lacphipk6konbcj3wavc","18020005","Service, Financial, Holding and Investment Offices","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"ezcqggmxklf2et182ilnbc2u","17044000","Recreation, Swimming","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"f13kpvr0ky0lqnntqj0vuvzz","18071000","Service, Web Design and Development","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"f30oux867oemfm4fcq8ph81n","18024012","Service, Home Improvement, Lighting Fixtures","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"f4zm06tv97f4ah6j1blywqux","18013006","Service, Construction, Heating, Ventilating and Air Conditioning","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"f6pe2ya837akcjkmpw0jj4vd","13005004","Food and Drink, Restaurants, Thai","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"fbww67uvvwk777uwro6akgk3","18058000","Service, Shipping and Freight","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"fbx0wkhvqoxhduvpq5059m3i","13005035","Food and Drink, Restaurants, Eastern European","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"ff492ukz6q5t1dbose5lcvya","18024007","Service, Home Improvement, Plumbing","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"fgpvrwy46qm7t5cfjupvxmln","19048000","Shops, Tobacco","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"fgzm0mgm6f55mov41n8pzuop","17017000","Recreation, Gymnastics","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"fi140eas2bxz09ui9blubtcw","13005031","Food and Drink, Restaurants, Filipino","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"fn1v5e4fcyzgpvzi560lefl0","19034000","Shops, Luggage","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"fnzf542z3xthuirjvnh7g2ar","18054000","Service, Research","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"fono2r91q8o1bmkyazo1nb02","18029000","Service, Industrial Machinery and Vehicles","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"ftjws0kppptmu07guv694vpm","18024009","Service, Home Improvement, Painting","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"ftne4l960hkfwzyi8darragp","17043000","Recreation, Stadiums and Arenas","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"ftnw0glhm0z4lr0smpbpua38","18024010","Service, Home Improvement, Movers","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"fwgo7o2hute0n2p5w08oo09g","19005002","Shops, Automotive, Salvage Yards","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"fwskmpwq51msxoffgx0s24t8","13005015","Food and Drink, Restaurants, Mexican","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"fx2r352ryxhstp3yyhq8t205","18017000","Service, Engineering","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"fxc9cux19v414288gu2yil0v","18041000","Service, News Reporting","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"fyls81g7aqaagvmkjk640r3r","18038000","Service, Media Production","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"g1s1swzqxmehzyni0r55qizw","18013000","Service, Construction","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"g4orrjkrbigtivzcvfzhqp94","18020012","Service, Financial, Banking and Finance","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"g5412cg40f2c4s16fx93dq3r","18001002","Service, Advertising and Marketing, Search Engine Marketing and Optimization","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"g54j4yhthk9m304twqrbsqf5","13005017","Food and Drink, Restaurants, Latin American","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"g6bzovpizxp2uda3lz3uxdpc","18020013","Service, Financial, ATMs","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"g8alqlio8qq9tfgj522jxo7p","13005043","Food and Drink, Restaurants, Coffee Shop","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"gc6qd9zjkbqebrkb3uamf28m","17010000","Recreation, Cycling","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"gj6qxb49utcujh04clzjcotz","18001004","Service, Advertising and Marketing, Promotional Items","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"gl8e9py9gfjfjeo3fetcb93q","21010009","Transfer, Third Party, Digit","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"gnk1hlacpvd2bfsravalxtc3","12004000","Community, Courts","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"go9q3aco4zqxetx5xngbmomq","13005030","Food and Drink, Restaurants, Fish and Chips","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"gt0dlkfj0259wumxeckfkalx","12016000","Community, Post Offices","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"gtgdf1qx9kcrl8nlkw7sryka","19038000","Shops, Newsstands","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"gvrbxo5tizf2loq5yabfr85f","13005000","Food and Drink, Restaurants","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"gzpu9rrsnb56fgg0s061yvue","14002002","Healthcare, Physicians, Respiratory","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"gzrq82pfi4hce86xiydazee3","14001012","Healthcare, Healthcare Services, Dentists","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"h0y9m1csn0bpties0chz43q0","10008000","Bank Fees, Cash Advance","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"h2e84fk3ba4gtqjwki32vr57","12001000","Community, Animal Shelter","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"h2v00lgneh4tikasgn76y3cf","18045000","Service, Personal Care","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"h36x96leoha77i01oguisbn3","17025002","Recreation, Outdoors, Mountains","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"h3if2uwg2iqx2fti1bigq4p4","12018004","Community, Religious, Churches","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"h4vgrksfhyenpxu9ebg2bb5w","13005025","Food and Drink, Restaurants, Greek","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"h5ky93vwcykqksl0nob2iyvl","13005023","Food and Drink, Restaurants, Indian","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"h6cs6q5sygpjosoytjktslm0","18015000","Service, Dating and Escort","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"h9exq6pf3snklxfgwssgg03q","18008000","Service, Business Services","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"hbpp8kr7yivm5ftkqhaens96","19003000","Shops, Arts and Crafts","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"hclngbaki2te7jabq1ewvt9g","18024020","Service, Home Improvement, Hardware and Services","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"hcmzjg3hvlj2cdzny0y3ecw6","14001015","Healthcare, Healthcare Services, Blood Banks and Centers","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"hddt33yvt60v4ksx9b99ff34","18024018","Service, Home Improvement, Home Appliances","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"hds4prxwut978if4z0u37bei","14002011","Healthcare, Physicians, Obstetricians and Gynecologists","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"hf2wwmdv7y6h3f5aapd4vl00","17018000","Recreation, Gyms and Fitness Centers","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"hgvukx5m2zwh91mn2qetlevd","22002000","Travel, Airports","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"hgw3ka4lebktq7wrw54wltnt","17001012","Recreation, Arts and Entertainment, Dance Halls and Saloons","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"hgy17pt0v9nxdlufo2b9xfyh","18050004","Service, Real Estate, Property Management","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"hhn8svd0m2licg99vpba3304","12002000","Community, Assisted Living Services","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"hhybwve6ylf32uz2m8kytatg","18006008","Service, Automotive, Auto Smog Check","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"hk5soqvijonbpyrkmqqg2lyu","18053000","Service, Repair Services","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"hkioa6aavcbrdz7753px1nvn","18024027","Service, Home Improvement, Architects","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"hmabh5p03vbcfskckbop1uyq","12015003","Community, Organizations and Associations, Charities and Non-Profits","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"hmq7rbnowe7usqiei134mh6p","12008003","Community, Education, Primary and Secondary Schools","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"hmwnr1ug7teb4ymig97m2vh2","17001008","Recreation, Arts and Entertainment, Museums","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"hnh7d1z8gow6hfqnzfv5shkc","19005005","Shops, Automotive, Classic and Antique Car","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"hs0jqubnbwqx10c2qgfqhxkh","19036000","Shops, Music, Video and DVD","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
